Order,Long,Lat
27864,-71.369603,-29.966738
27863,-71.369603,-29.967618
27862,-71.368723,-29.968205
27861,-71.368723,-29.969085
27860,-71.367843,-29.969965
27859,-71.367843,-29.974072
27858,-71.367256,-29.974952
27857,-71.366963,-29.979059
27856,-71.364909,-29.981405
27855,-71.364029,-29.981405
27854,-71.362563,-29.979645
27853,-71.359922,-29.979645
27852,-71.359336,-29.980525
27851,-71.355815,-29.980525
27850,-71.354055,-29.978765
27849,-71.353469,-29.978765
27848,-71.352882,-29.978472
27847,-71.352882,-29.977592
27846,-71.352589,-29.977005
27845,-71.351708,-29.977005
27844,-71.350535,-29.975832
27843,-71.350535,-29.974952
27842,-71.349655,-29.974072
27841,-71.349655,-29.970845
27840,-71.352002,-29.968498
27839,-71.352002,-29.965858
27838,-71.352589,-29.965564
27837,-71.354935,-29.965271
27836,-71.355815,-29.964684
27835,-71.360802,-29.964684
27834,-71.362563,-29.962924
27833,-71.363443,-29.962924
27832,-71.364323,-29.963804
27831,-71.364909,-29.963804
27830,-71.365496,-29.963218
27829,-71.365496,-29.959991
27828,-71.364616,-29.959111
27827,-71.364616,-29.956764
27826,-71.363736,-29.955884
27825,-71.363736,-29.954124
27824,-71.364616,-29.953243
27823,-71.364616,-29.951777
27822,-71.365203,-29.95119
27821,-71.365789,-29.95119
27820,-71.367256,-29.950017
27819,-71.365789,-29.948843
27818,-71.364323,-29.948843
27817,-71.362563,-29.947083
27816,-71.361683,-29.947083
27815,-71.360802,-29.947963
27814,-71.359336,-29.947963
27813,-71.358749,-29.94767
27812,-71.358749,-29.94503
27811,-71.357869,-29.944149
27810,-71.357869,-29.943269
27809,-71.355522,-29.940923
27808,-71.355522,-29.940043
27807,-71.354642,-29.939162
27806,-71.354642,-29.936816
27805,-71.354349,-29.936229
27804,-71.352589,-29.936229
27803,-71.351708,-29.937109
27802,-71.349655,-29.935055
27801,-71.349655,-29.934175
27800,-71.349362,-29.933882
27799,-71.348482,-29.933882
27798,-71.347602,-29.933002
27797,-71.345841,-29.933002
27796,-71.345548,-29.932415
27795,-71.345548,-29.931535
27794,-71.344961,-29.931242
27793,-71.343201,-29.931242
27792,-71.342614,-29.932122
27791,-71.341734,-29.932122
27790,-71.339974,-29.930362
27789,-71.338508,-29.930362
27788,-71.337041,-29.931829
27787,-71.337041,-29.932415
27786,-71.336161,-29.933295
27785,-71.336161,-29.937402
27784,-71.335281,-29.938282
27783,-71.335574,-29.943269
27782,-71.336161,-29.944149
27781,-71.336161,-29.94503
27780,-71.335574,-29.94591
27779,-71.335281,-29.955884
27778,-71.334987,-29.956177
27777,-71.32912,-29.956177
27776,-71.32824,-29.957057
27775,-71.320906,-29.957057
27774,-71.320026,-29.956177
27773,-71.317386,-29.956177
27772,-71.316799,-29.95559
27771,-71.315039,-29.95559
27770,-71.314159,-29.95471
27769,-71.313279,-29.95471
27768,-71.312692,-29.95383
27767,-71.310932,-29.95383
27766,-71.310052,-29.95295
27765,-71.309172,-29.95295
27764,-71.308292,-29.95207
27763,-71.307412,-29.95207
27762,-71.306825,-29.95119
27761,-71.305945,-29.95119
27760,-71.305065,-29.95031
27759,-71.304185,-29.95031
27758,-71.303305,-29.949723
27757,-71.302425,-29.949723
27756,-71.300078,-29.947083
27755,-71.299198,-29.947083
27754,-71.290397,-29.938282
27753,-71.290397,-29.937402
27752,-71.288051,-29.935055
27751,-71.288051,-29.934175
27750,-71.287171,-29.933295
27749,-71.287171,-29.932415
27748,-71.28541,-29.930949
27747,-71.28541,-29.930068
27746,-71.28453,-29.929188
27745,-71.28453,-29.928308
27744,-71.283064,-29.926842
27743,-71.283064,-29.925081
27742,-71.282183,-29.924201
27741,-71.282183,-29.923321
27740,-71.281303,-29.922441
27739,-71.281303,-29.921561
27738,-71.280423,-29.920974
27737,-71.280423,-29.919214
27736,-71.279543,-29.918334
27735,-71.279543,-29.916574
27734,-71.278663,-29.915987
27733,-71.278663,-29.913347
27732,-71.277783,-29.912467
27731,-71.278077,-29.911
27730,-71.277196,-29.91012
27729,-71.277196,-29.902493
27728,-71.276316,-29.901613
27727,-71.276316,-29.869051
27726,-71.277196,-29.868464
27725,-71.277196,-29.860837
27724,-71.278077,-29.859957
27723,-71.277783,-29.85673
27722,-71.278663,-29.85585
27721,-71.278663,-29.852623
27720,-71.279543,-29.851743
27719,-71.279543,-29.847636
27718,-71.280423,-29.846756
27717,-71.280423,-29.840889
27716,-71.281303,-29.840009
27715,-71.281303,-29.836782
27714,-71.282183,-29.835902
27713,-71.282183,-29.835022
27712,-71.28277,-29.834142
27711,-71.283064,-29.833262
27710,-71.28365,-29.832381
27709,-71.28365,-29.830915
27708,-71.28453,-29.830035
27707,-71.28453,-29.828274
27706,-71.28541,-29.827394
27705,-71.28541,-29.826808
27704,-71.290104,-29.822114
27703,-71.291571,-29.822114
27702,-71.292451,-29.822994
27701,-71.293331,-29.822994
27700,-71.294211,-29.823874
27699,-71.297438,-29.823874
27698,-71.298318,-29.824754
27697,-71.300078,-29.824754
27696,-71.301838,-29.822994
27695,-71.303305,-29.822994
27694,-71.304185,-29.822114
27693,-71.306532,-29.822114
27692,-71.307412,-29.821234
27691,-71.309172,-29.821234
27690,-71.310932,-29.819474
27689,-71.311812,-29.819474
27688,-71.312986,-29.8183
27687,-71.312986,-29.81742
27686,-71.311812,-29.816247
27685,-71.310932,-29.816247
27684,-71.309465,-29.815074
27683,-71.309759,-29.813313
27682,-71.310052,-29.81302
27681,-71.314159,-29.81302
27680,-71.314746,-29.812433
27679,-71.314746,-29.811553
27678,-71.313866,-29.810967
27677,-71.314746,-29.810087
27676,-71.314452,-29.809206
27675,-71.313866,-29.808326
27674,-71.313866,-29.807446
27673,-71.312986,-29.806566
27672,-71.315039,-29.804513
27671,-71.315919,-29.804513
27670,-71.317093,-29.803339
27669,-71.317093,-29.801579
27668,-71.316213,-29.800699
27667,-71.316213,-29.800112
27666,-71.317093,-29.799232
27665,-71.317093,-29.798352
27664,-71.319733,-29.796006
27663,-71.31944,-29.795125
27662,-71.318853,-29.794245
27661,-71.318853,-29.792485
27660,-71.319146,-29.792192
27659,-71.320026,-29.792192
27658,-71.3212,-29.790725
27657,-71.3212,-29.790138
27656,-71.32208,-29.789258
27655,-71.32208,-29.788378
27654,-71.3212,-29.787498
27653,-71.3212,-29.785151
27652,-71.32032,-29.784271
27651,-71.320613,-29.782511
27650,-71.319733,-29.781631
27649,-71.31944,-29.778404
27648,-71.3212,-29.776644
27647,-71.3212,-29.775764
27646,-71.32208,-29.774884
27645,-71.32208,-29.773417
27644,-71.322373,-29.772831
27643,-71.325013,-29.772831
27642,-71.325893,-29.773711
27641,-71.326773,-29.773711
27640,-71.327653,-29.774591
27639,-71.32912,-29.774591
27638,-71.33,-29.773711
27637,-71.33088,-29.773711
27636,-71.33176,-29.772831
27635,-71.334107,-29.772831
27634,-71.334694,-29.772537
27633,-71.334694,-29.771657
27632,-71.334987,-29.771364
27631,-71.335867,-29.771364
27630,-71.336747,-29.770484
27629,-71.337627,-29.770484
27628,-71.337921,-29.769897
27627,-71.337921,-29.76931
27626,-71.338508,-29.768724
27625,-71.339974,-29.768724
27624,-71.341148,-29.76755
27623,-71.341148,-29.76667
27622,-71.342028,-29.76579
27621,-71.342028,-29.762563
27620,-71.341148,-29.761683
27619,-71.341441,-29.759923
27618,-71.340561,-29.759043
27617,-71.341734,-29.757869
27616,-71.344081,-29.757869
27615,-71.344668,-29.757576
27614,-71.344668,-29.755816
27613,-71.346135,-29.754056
27612,-71.346135,-29.753469
27611,-71.345841,-29.752882
27610,-71.344081,-29.752882
27609,-71.343788,-29.752589
27608,-71.343788,-29.751709
27607,-71.342908,-29.750829
27606,-71.342908,-29.745842
27605,-71.343788,-29.744962
27604,-71.343788,-29.743495
27603,-71.341148,-29.740855
27602,-71.341148,-29.738215
27601,-71.340854,-29.737921
27600,-71.337627,-29.737921
27599,-71.334987,-29.735575
27598,-71.334107,-29.735575
27597,-71.333227,-29.734694
27596,-71.33,-29.734694
27595,-71.329707,-29.734108
27594,-71.329707,-29.731761
27593,-71.32912,-29.731174
27592,-71.32824,-29.731174
27591,-71.327947,-29.730881
27590,-71.327947,-29.727654
27589,-71.328827,-29.726774
27588,-71.328827,-29.723254
27587,-71.329707,-29.722667
27586,-71.329707,-29.721787
27585,-71.32912,-29.7212
27584,-71.328533,-29.7212
27583,-71.326187,-29.719147
27582,-71.326187,-29.710933
27581,-71.32824,-29.708879
27580,-71.32912,-29.708879
27579,-71.330587,-29.707412
27578,-71.330587,-29.705946
27577,-71.331174,-29.705066
27576,-71.331174,-29.702425
27575,-71.328827,-29.700079
27574,-71.328827,-29.698318
27573,-71.328533,-29.698025
27572,-71.322666,-29.698025
27571,-71.32208,-29.697438
27570,-71.32208,-29.696852
27569,-71.32032,-29.695092
27568,-71.32208,-29.693331
27567,-71.32208,-29.692451
27566,-71.32296,-29.691865
27565,-71.32296,-29.690985
27564,-71.32384,-29.690105
27563,-71.32384,-29.687464
27562,-71.32472,-29.686584
27561,-71.32472,-29.685704
27560,-71.32384,-29.685118
27559,-71.32384,-29.684237
27558,-71.32296,-29.683357
27557,-71.32296,-29.682477
27556,-71.32208,-29.681597
27555,-71.32208,-29.680131
27554,-71.32296,-29.67925
27553,-71.32296,-29.67749
27552,-71.32208,-29.67661
27551,-71.32208,-29.673383
27550,-71.32296,-29.672503
27549,-71.32296,-29.670156
27548,-71.32384,-29.669276
27547,-71.32384,-29.668396
27546,-71.322666,-29.667223
27545,-71.320906,-29.667223
27544,-71.320026,-29.666343
27543,-71.319146,-29.666343
27542,-71.318853,-29.665756
27541,-71.318853,-29.664289
27540,-71.31944,-29.663409
27539,-71.31944,-29.662529
27538,-71.32032,-29.661649
27537,-71.32032,-29.660769
27536,-71.319733,-29.659889
27535,-71.319733,-29.659302
27534,-71.318853,-29.658422
27533,-71.318853,-29.656662
27532,-71.317093,-29.654902
27531,-71.318853,-29.653435
27530,-71.317679,-29.651968
27529,-71.316799,-29.651968
27528,-71.316213,-29.651675
27527,-71.316213,-29.650795
27526,-71.314746,-29.649035
27525,-71.315333,-29.648448
27524,-71.314746,-29.647568
27523,-71.314746,-29.644928
27522,-71.315039,-29.644635
27521,-71.315919,-29.644635
27520,-71.316799,-29.645515
27519,-71.319146,-29.645515
27518,-71.320026,-29.644635
27517,-71.321786,-29.644635
27516,-71.32208,-29.644048
27515,-71.32208,-29.643168
27514,-71.32032,-29.641701
27513,-71.32032,-29.639061
27512,-71.319146,-29.637887
27511,-71.317679,-29.637887
27510,-71.315039,-29.640528
27509,-71.312692,-29.640528
27508,-71.311812,-29.641408
27507,-71.309172,-29.641114
27506,-71.308879,-29.640821
27505,-71.308879,-29.639061
27504,-71.307999,-29.638474
27503,-71.307999,-29.636714
27502,-71.307412,-29.636421
27501,-71.306825,-29.636127
27500,-71.305358,-29.634954
27499,-71.305358,-29.633487
27498,-71.303012,-29.630847
27497,-71.303012,-29.629967
27496,-71.303892,-29.629087
27495,-71.303892,-29.62674
27494,-71.301838,-29.624687
27493,-71.300958,-29.624687
27492,-71.300078,-29.623806
27491,-71.299198,-29.623806
27490,-71.298025,-29.622633
27489,-71.298025,-29.620873
27488,-71.296558,-29.6197
27487,-71.295971,-29.6197
27486,-71.295091,-29.618819
27485,-71.293331,-29.618819
27484,-71.292451,-29.617939
27483,-71.290984,-29.617939
27482,-71.290397,-29.617646
27481,-71.290397,-29.616766
27480,-71.289517,-29.615886
27479,-71.289517,-29.613246
27478,-71.288637,-29.612366
27477,-71.289517,-29.611779
27476,-71.289517,-29.608259
27475,-71.290397,-29.607672
27474,-71.290397,-29.606792
27473,-71.291277,-29.605912
27472,-71.291277,-29.603272
27471,-71.292158,-29.602392
27470,-71.292158,-29.601805
27469,-71.293038,-29.600925
27468,-71.293038,-29.600045
27467,-71.296851,-29.596231
27466,-71.300078,-29.596231
27465,-71.301838,-29.594764
27464,-71.302425,-29.594471
27463,-71.303305,-29.593884
27462,-71.304185,-29.593884
27461,-71.304478,-29.593298
27460,-71.304478,-29.592418
27459,-71.305065,-29.592124
27458,-71.305945,-29.592124
27457,-71.306239,-29.591831
27456,-71.306239,-29.590071
27455,-71.307705,-29.588897
27454,-71.308292,-29.588604
27453,-71.309172,-29.588017
27452,-71.312399,-29.588017
27451,-71.312986,-29.587431
27450,-71.312986,-29.585964
27449,-71.312106,-29.585084
27448,-71.312106,-29.584204
27447,-71.311226,-29.583324
27446,-71.312106,-29.582444
27445,-71.312106,-29.581563
27444,-71.312399,-29.58127
27443,-71.313279,-29.58127
27442,-71.314159,-29.58039
27441,-71.315039,-29.58039
27440,-71.315919,-29.57951
27439,-71.316799,-29.57951
27438,-71.318266,-29.578043
